CODIGO_CA;NOMBRE_CA
PV;COMUNIDAD AUTONOMA DEL PAIS VASCO
CM;COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA
CV;COMUNIDAD VALENCIANA
AN;COMUNIDAD AUTONOMA DE ANDALUCIA
CL;COMUNIDAD AUTONOMA DE CASTILLA Y LEON
EX;COMUNIDAD AUTONOMA DE EXTREMADURA
IB;COMUNIDAD AUTONOMA DE ILLES BALEARS
CT;COMUNIDAD AUTONOMA DE CATALUÃ‘A
GA;COMUNIDAD AUTONOMA DE GALICIA
AR;COMUNIDAD AUTONOMA DE ARAGON
LR;COMUNIDAD AUTONOMA DE LA RIOJA
MD;COMUNIDAD DE MADRID
MU;REGION DE MURCIA
NA;COMUNIDAD FORAL DE NAVARRA
AS;PRINCIPADO DE ASTURIAS
IC;COMUNIDAD AUTONOMA DE CANARIAS
CN;COMUNIDAD AUTONOMA DE CANTABRIA
CE;CIUDAD DE CEUTA
ME;CIUDAD DE MELILLA
